objectid,filenamesimple,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
crimdata001,cri1,cri1.jpg,Police Commissions and Boards in Canada,Philip Stenning,1981,,books;police,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",HV8157 .S74,Image;StillImage,image/jpeg,eng,,,image,/objects/cri1.jpg,/objects/small/cri1_sm.jpg,/objects/thumbs/cri1_th.jpg,,
crimdata002,cri2,cri2.jpg,Just desserts? The racial polarization of perceptions of criminal justice,"Scot Wortley, Ross Macmillan, John Hagan",1995,journal article written by professors at the University of Toronto,journal;justice;race,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri2.jpg,/objects/small/cri2_sm.jpg,/objects/thumbs/cri2_th.jpg,,
crimdata003,cri3,cri3.jpg,Social networks and substance abuse: Testing social ability and disability hypotheses,Scot Wortley,1995,,journal;disability;substanceabuse,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri3.jpg,/objects/small/cri3_sm.jpg,/objects/thumbs/cri3_th.jpg,,
crimdata004,cri4,cri4.jpg,Boot camps: A select bibliography,Catherine J. Matthews,1996,prepared by Centre librarian for the Ontario Strict Discipline Task Force,bibliography;taskforce;,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri4.jpg,/objects/small/cri4_sm.jpg,/objects/thumbs/cri4_th.jpg,,
crimdata005,cri5,cri5.jpg,Some developments in the study of suicide,James L. Wilkins,1970,public lecture delivered at the University of Toronto,lecture;suicide,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri5.jpg,/objects/small/cri5_sm.jpg,/objects/thumbs/cri5_th.jpg,,
crimdata006,cri6,cri6.jpg,The sentencing of young offenders,"John L. J. Edwards, Diane Barlow, Philip Stenning",1969,paper prepared for the Canadian Judicial Seminar held in Toronto,seminar;youth;sentencing;director,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri6.jpg,/objects/small/cri6_sm.jpg,/objects/thumbs/cri6_th.jpg,,
crimdata007,cri7,cri7.jpg,Effectiveness of parole as a correctional instrument,J. Irvin Waller,1967,"includes ""Parole supervisor role study"" in the Parole Project Progress Report",parole;corrections;report,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri7.jpg,/objects/small/cri7_sm.jpg,/objects/thumbs/cri7_th.jpg,,
crimdata008,cri8,cri8.jpg,Social defence and control of the dangerous offender,John L. J. Edwards,1968,"Current Legal Problems, vol. 21",article;offender;defence;director,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri8.jpg,/objects/small/cri8_sm.jpg,/objects/thumbs/cri8_th.jpg,,
crimdata009,cri9,cri9.jpg,Sentencing research project,John Hogarth,1966,project outline by Centre research associate and University of Toronto law professor,sentencing;research,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri9.jpg,/objects/small/cri9_sm.jpg,/objects/thumbs/cri9_th.jpg,,
crimdata010,cri10,cri10.jpg,Parole in Canada,Carl Hamilton,1965,submitted in fulfillment of Seminar in Criminology program requirement,thesis;dissertation;parole,"Centre for Criminology and Sociolegal Studies, University of Toronto",43.66205017,-79.39297628,"Centre for Criminology and Sociolegal Studies Library Archive, University of Toronto",Centre for Criminology Archives,Image;StillImage,image/jpeg,eng,,,image,/objects/cri10.jpg,/objects/small/cri10_sm.jpg,/objects/thumbs/cri10_th.jpg,,
